姓名,性别,民族,出生地,出生日期,毕业院校,专业背景,担任职务,履历
乙晓光,男,汉族,江苏省宿迁市,1958年6月,空军保定学校,军人,中国共产党中央军事委员会联合参谋部副参谋长,"1974.03—1977, 空军保定学校学习
1977—1979,东北空军飞行员、中队长
1979—1989,某军区空军飞行大队长、成都军区空军司令部军训处射击主任、航空兵团团长（其间：1984—1986,解放军空军指挥学院学习）
1989—1992,成都军区云南空军航空兵训练基地政治部主任,航空兵师参谋长
1992—1996,空军航空飞行师师长
1996—2003.10,空军司令部军训部部长、云南航空兵训练基地司令员、成都军区空军副参谋长、空军武汉基地司令员、空军武汉指挥所主任
2003.10—2004.03,广州军区空军副参谋长
2004.03—2008.03,空军指挥学院院长
2008.03—2010.12,空军副参谋长
2010.12—2012.12,中国人民解放军南京军区副司令员兼南京军区空军司令员
2012.12—2014.07,中国人民解放军总参谋长助理
2014.07—2016.01,中国人民解放军副总参谋长
2016.01—,中国共产党中央军事委员会联合参谋部副参谋长"
丁来杭,男,汉族,浙江省杭州市,1957年9月,空军第九航空学校,军人,中国人民解放军空军司令员," —2001.12,历任空军航空兵第二十四师七十一团副团长、团长、副师长、北空训练基地司令员。
2001.12—2003.12,任空八军参谋长。
2003.12—2007.12,任空军福州指挥所司令员。
2007.12—2009.1,任空军指挥学院院长。
2009.1—2012.8,任成都军区空军参谋长。
2012.8—2016.2,任沈阳军区副司令员兼军区空军司令员。
2016.2—2017.8,任中国人民解放军北部战区空军司令员。 
2017.8—,任中国人民解放军空军司令员。"
丁学东,男,汉族,江苏省常州市,1960年2月,中南财经政法大学,财政学,国务院副秘书长、央行货币政策委员会委员,"1987—1991,财政部工业交通财务司调研处副处长；
1991—1994,财政部工业交通财务司调研处处长；
1994—1997,国家国有资产管理局办公室主任兼人事教育司司长；
1997—1998,国家国有资产管理局产权司司长；
1998—2000,财政部国有资本金基础管理司司长；
2000—2005,财政部农业司司长（其间：2003.03—2004.03挂职任三峡总公司财务部副总经理）；
2005.08—2006.11,财政部教科文司司长；
2006.11—2008.03,财政部部长助理、党组成员；
2008.03—2010.05,财政部副部长、党组成员。分管农业司、企业司、监督检查局、国家农业综合开发办公室、中国资产评估协会、财政部驻各地财政监察专员办事处等。
2010.05—2013.07,国务院副秘书长,全国双拥工作领导小组副组长（兼）。（2013.05——今,国家减灾委员会副主任。）
2013.07—2014.10,中国投资有限责任公司董事长兼首席执行官。
2014.10—2017.02,中国投资有限责任公司董事长兼首席执行官,中金公司董事、董事长.
2017.02—国务院副秘书长（正部长级）
2017.03—央行货币政策委员会委员。"
丁薛祥,男,汉族,江苏南通,1962年9月,复旦大学,行政管理,"中央政治局委员、中央书记处书记,中央办公厅主任兼国家主席办公室主任,中央直属机关工委书记","1978—1982,东北重型机械学院机械工程系锻压工艺及设备专业学习
1982—1984,上海材料研究所九室科研人员
1984—1988,上海材料研究所办公室副主任、团委书记
1988—1992,上海材料研究所办公室主任、宣传部主任
1992—1994,上海材料研究所九室主任（其间：1993.09—1993.12,上海市委党校中青干部培训班学习）
1994—1996,上海材料研究所副所长
1989—1994,复旦大学管理学院行政管理专业在职研究生学习,获理学硕士学位
1996—1999,上海材料研究所党委副书记、所长
1999—2001,上海市科委副主任（正局级）
2001—2004,上海市闸北区委副书记、代区长、区长
2004—2006,上海市委组织部副部长,市人事局局长、党组书记,市编办主任,市委党校副校长、校委会副主任,市行政学院副院长
2006—2007,上海市委副秘书长、办公厅主任,市级机关工作党委书记
2007—2012,上海市委常委、秘书长
2012—2013,上海市委常委、政法委书记
2013—2015,中央办公厅副主任兼国家主席办公室主任
2015—2017,中央办公厅主持常务工作的副主任（正部长级）兼国家主席办公室主任
2017—　中央政治局委员、中央书记处书记,中央办公厅主任兼国家主席办公室主任,中央直属机关工委书记"
于伟国,男,汉族,山东威海,1955年10月,中国人民大学,中国文学,福建省委书记、省长,"1973.01—1973.07,江苏省太仓县长江化工厂工人
1973.07—1977.07,江苏省太仓县布厂工人、干部、党支部副书记
1977.07—1979.09,江苏省太仓县城厢镇团委书记
1979.09—1983.07,中国人民大学中国语言文学系中国文学专业学习
1983.07—1985.12,中央书记处研究室干部
1985.12—1987.10,中央书记处研究室简报组副处级调研员
1987.10—1991.05,中央文献研究室综合研究组编辑、邓小平研究组生平小组副组长
1991.05—1995.08,中央办公厅秘书局秘书（1992.01明确为正处长级,1994.10明确为副局级）
1995.08—1999.05,福建省厦门市市长助理（挂职）（其间：1996.11—1997.11,厦门大学世界经济专业研究生课程班学习）
1999.05—1999.11,福建省厦门市副市长
1999.11—2001.09,福建省厦门市委常委、秘书长
2001.09—2002.05,福建省厦门市委常委、组织部部长
2002.05—2005.01,福建省厦门市委副书记、组织部部长
2005.01—2006.08,福建省委组织部副部长（正厅长级）
2006.08—2006.11,福建省委组织部部长
2006.11—2009.06,福建省委常委、组织部部长
2009.06—2009.07,福建省委常委、组织部部长,厦门市委书记[1] 
2009.07—2010.01,福建省委常委、厦门市委书记
2010.01—2012.01,福建省委常委,厦门市委书记、市人大常委会主任[2] 
2012.01—2013.04,福建省委常委、厦门市委书记
2013.04—2013.05,福建省委副书记、厦门市委书记
2013.05—2015.11,福建省委副书记
2015.11—2016.01,福建省委副书记、代省长
2016.01—2017.10,福建省委副书记、省长
2017.10—,福建省委书记、省长[3] "
于忠福,男,汉族,山东莱阳市,1956年7月,华中师范大学,军人,中国人民解放军空军政委,"1964—1974.12,后在小学、初中、高中读书,先后就读于华中师范大学政历系、中央党校领导干部基础科、中国人民大学商学院,研究生学历。
1974.12—2012.12,应征入伍,历任空军雷达兵第四十九团司令部战士、宣传教育干事、政治指导员、政治处组织股股长、任免科长,武汉军区空军政治部干部部、济南军区空军政治部干部处副处长、处长,空军航空兵19歼击师政委,国防大学毕业后到天津扬村空24师任政委,南空政治部副主任,空军上海指挥所政治委员。上海市人大代表。
2012.12—2014.07,任济南军区空军政治委员。 
2014.07—2015.07,任南京军区空军政治委员。
2015.07—,任中国人民解放军空军政委"
万立骏,男,汉族,辽宁大连,1957年7月,大连理工大学、日本东北大学,工学博士,"中国侨联主席,中国侨联党组书记,中国科学技术大学党委副书记,中国侨联特聘专家委员会主任委员,中国科学院侨联主席,中国科学院院士,发展中国家科学院院士,中国科学院分子纳米结构与纳米技术重点实验室主任,中国科学院化学研究所学术委员会主任","—1982.1,于大连理工大学获工学学士学位。
1982.1—1987.6,于大连理工大学获工学硕士学位
1987.6—1996.3,于日本东北大学获博士学位。
1982.02—1984.08,吉林省邮电工业总厂 助理工程师 吉林省邮电局政治部 干事
1987.07—1992.02,大连海事大学 讲师
1996.04—1997.09,日本科学技术振兴事业团 研究员
1997.10—1998.09,日本北海道大学 客座教授
1998.10—2000.03,日本东北大学 助理教授
2000.03—1998,入选中国科学院“百人计划”后回国
1999.09—2004.2,中国科学院化学研究所 研究员
2004.2—2013.1,中国科学院化学研究所所长，中国科学院分子科学中心主任。
2009—,年当选中国科学院院士
2010—,当选第三世界科学院院士。
2012.11.14—2017,当选为中共第十八届中央候补委员。
2015.3—2017.6,任中国科学技术大学校长（副部长级）。
2017.6.9—,任中国侨联第九届委员会主席,中国共产党第十九届中央委员会委员，党的十九大代表"
习近平,男,汉族,陕西富平,1953年6月,清华大学,法学博士,"中国共产党中央委员会总书记,中共中央军事委员会主席,中华人民共和国主席,中华人民共和国中央军事委员会主席","1969—1975,　陕西省延川县文安驿公社梁家河大队知青、党支部书记
1975—1979,清华大学化工系基本有机合成专业学习
1979—1982,国务院办公厅、中央军委办公厅秘书（现役）
1982—1983,河北省正定县委副书记
1983—1985,河北省正定县委书记,正定县武装部第一政委、党委第一书记
1985—1988,福建省厦门市委常委、副市长
1988—1990,福建省宁德地委书记,宁德军分区党委第一书记
1990—1993,福建省福州市委书记、市人大常委会主任,福州军分区党委第一书记
1993—1995,福建省委常委,福州市委书记、市人大常委会主任,福州军分区党委第一书记
1995—1996,福建省委副书记,福州市委书记、市人大常委会主任,福州军分区党委第一书记
1996—1999,福建省委副书记,福建省高炮预备役师第一政委
1999—2000,福建省委副书记、代省长,南京军区国防动员委员会副主任,福建省国防动员委员会主任,福建省高炮预备役师第一政委
2000—2002,福建省委副书记、省长,南京军区国防动员委员会副主任,福建省国防动员委员会主任,福建省高炮预备役师第一政委
1998—2002,清华大学人文社会学院马克思主义理论与思想政治教育专业在职研究生班学习,获法学博士学位
2002—2002,浙江省委副书记、代省长,南京军区国防动员委员会副主任,浙江省国防动员委员会主任
2002—2003,浙江省委书记、代省长,浙江省军区党委第一书记,南京军区国防动员委员会副主任,浙江省国防动员委员会主任
2003—2007,浙江省委书记、省人大常委会主任,浙江省军区党委第一书记
2007—2007,上海市委书记,上海警备区党委第一书记
2007—2008,中央政治局常委、中央书记处书记,中央党校校长
2008—2010,中央政治局常委、中央书记处书记,中华人民共和国副主席,中央党校校长
2010—2012,中央政治局常委、中央书记处书记,中华人民共和国副主席,中共中央军事委员会副主席,中华人民共和国中央军事委员会副主席,中央党校校长
2012—2013,中央委员会总书记,中共中央军事委员会主席,中华人民共和国副主席,中华人民共和国中央军事委员会副主席
2013—,　中央委员会总书记,中共中央军事委员会主席,中华人民共和国主席,中华人民共和国中央军事委员会主席"
马飚,男,壮族,广西田阳,1954年8月,中央民族学院,政治经济学,"中国共产党第十九届中央委员会委员,十二届全国政协副主席","1972—1978,广西壮族自治区柳州钢铁厂工人
1978—1982,中央民族学院政治系政治经济学专业学习
1982—1991,广西壮族自治区计委计划经济研究所助理研究员、副研究员、副所长（其间：1990—1991,挂职任广西壮族自治区罗城仫佬族自治县委副书记）
1991—1992,中国社会科学院民族研究所副研究员
1992—1994,中国社会科学院民族研究所经济研究室主任、研究员
1994—1994,广西壮族自治区北海市委书记助理
1994—1998,广西壮族自治区经济体制改革委员会副主任
1998—2002,广西壮族自治区百色地委副书记、行署专员
2002—2004,广西壮族自治区百色地（市）委书记
2004—2005,广西壮族自治区政府副主席
2005—2006,广西壮族自治区党委常委,南宁市委书记、市人大常委会主任
2006—2007,广西壮族自治区党委常委、南宁市委书记
2007—2008,广西壮族自治区党委副书记、区政府代主席,南宁市委书记
2008—2008,广西壮族自治区党委副书记、区政府主席,南宁市委书记
2008—2013,广西壮族自治区党委副书记、区政府主席[1] 
2013—,十二届全国政协副主席,广西壮族自治区党委副书记、区政府主席（—20133）"
马兴瑞,男,汉族,山东郓城,1959年10月,哈尔滨工业大学,工学博士,"广东省委副书记,省长、省政府党组书记","1978.10—1982.07,阜新矿业学院机电工程系工程力学专业学习；
1982.07—1985.03,天津大学力学系一般力学专业硕士研究生；
1985.03—1988.03,哈尔滨工业大学飞行动力学研究室一般力学专业博士研究生；
1988.03—1995.01,哈尔滨工业大学讲师、副教授、教授（1991.12）、博士生导师（1993.10）；
1995.01—1996.04,哈尔滨工业大学航天学院副院长、系主任；
1996.04—1996.05,哈尔滨工业大学副校长；
1996.05—1999.09,中国空间技术研究院（五院）副院长（正司局级）、党委委员（1996.06任实践五号卫星总指挥和总设计师）；
1999.09—2007.08,中国航天科技集团公司副总经理、党组成员（其间：2004.11—2005.01参加中央党校地厅级领导干部进修班）；
2007.08—2013.03,中国航天科技集团公司总经理、党组书记（其间：2007.当选为国际宇航科学院院士,2007.10任中国宇航学会理事长,2007.11任中国载人航天工程副总指挥；2008.12任中国新一代运载火箭工程总指挥；2010.03—2010.04参加中央党校第47期省部级领导干部进修班）；
2013.03—2013.05,工业和信息化部副部长、党组成员,国家航天局局长,国家原子能机构主任,国家国防科技工业局局长、党组书记（2013.03任中国绕探测工程总指挥,2013.当选亚太空间合作组织理事会主席）；
2013.05—2013.11,工业和信息化部副部长、党组副书记,国家航天局局长,国家原子能机构主任,国家国防科技工业局局长、党组书记,国务院中央军委专门委员会委员（2013.06）,国务院振兴东北地区等老工业基地领导小组成员（2013.06）；
2013.11—2015.03,广东省委副书记、政法委书记,省社工委主任；
2015.03—2015.04,广东省委副书记,深圳市委书记,省委政法委书记、省社工委主任
2015.04—2016.12,广东省委副书记,深圳市委书记；
2016.12—2017.01,广东省委副书记,副省长、代理省长、省政府党组书记；
2017.01—,广东省委副书记,省长、省政府党组书记。"
